-5.6864172 10.400489
-5.1098587 29.02545
-5.1097311 46.869916
-4.9082191 76.939413
-4.9020103 69.248374
-4.8106129 76.070078
-4.7469801 109.19222
-4.7364408 181.72773
-4.7294603 149.15497
-4.678559 97.434925
-4.6727619 118.92507
-4.617693 116.45107
-4.5988387 132.86409
-4.5960682 150.29665
-4.5494044 44.003965
-4.5327407 187.60756
-4.5066564 189.2762
-4.506253 167.80193
-4.4141801 244.48054
-4.4025508 237.77391
-4.3674178 282.62841
-4.3326124 365.98083
-4.32947 181.04466
-4.3283137 334.53628
-4.2931869 238.90515
-4.2905897 202.36983
-4.2677609 225.16703
-4.2553408 368.4279
-4.2538812 342.07087
-4.2242884 251.84015
-4.2235432 269.56987
-4.2009714 260.72428
-4.1981615 261.01222
-4.1931153 350.87528
-4.1586733 420.63068
-4.1558641 387.42548
-4.1462373 246.20331
-4.145963 222.19733
-4.1293246 274.92402
-4.1258346 255.74841
-4.1196109 328.05765
-4.1105572 269.80089
-4.0956024 316.85806
-4.0945184 271.15821
-4.077135 208.56274
-4.0549354 312.04891
-4.0472269 479.75317
-4.0439088 441.15003
-4.0393027 547.26814
-4.033098 542.44483
-4.0242274 287.15676
-4.0238649 493.28153
-4.0227118 353.29697
-3.9887501 492.34723
-3.9761165 353.53097
-3.9737759 269.98757
-3.9628306 443.76894
-3.9610332 583.3719
-3.9580167 279.60646
-3.9565049 482.32252
-3.9564205 222.04306
-3.9509077 432.60887
-3.9499474 473.99664
-3.9447075 372.03655
-3.9230887 340.53075
-3.9134096 343.88192
-3.9123616 315.58001
-3.9016088 390.22855
-3.8906217 365.20324
-3.8881464 392.47454
-3.8836646 588.57288
-3.8709241 791.32461
-3.8640246 541.84578
-3.8626341 403.95256
-3.8547044 485.31643
-3.8535017 498.95012
-3.8485088 947.04429
-3.8449707 759.33773
-3.8377235 322.86145
-3.8364997 516.45379
-3.8326454 648.31552
-3.8256715 549.75369
-3.8195255 608.50558
-3.8169194 411.24352
-3.8060163 466.47782
-3.8028629 341.19764
-3.7997434 681.17332
-3.7897813 694.36465
-3.7851371 700.04638
-3.7850064 401.53871
-3.7807282 500.83327
-3.7764881 488.18613
-3.7685398 844.8728
-3.7611201 752.33727
-3.7599077 725.47277
-3.7552688 503.9136
-3.7545106 606.38473
-3.7466796 457.87
-3.744148 680.17625
-3.7305868 498.85716
-3.7269932 804.0069
-3.7213682 636.63266
-3.7188261 601.73482
-3.7174526 514.33212
-3.7067199 809.22835
-3.7053665 537.66883
-3.7020872 669.87869
-3.6972572 788.48273
-3.6927006 785.8326
-3.6914406 876.66692
-3.6896171 898.52436
-3.687621 804.40656
-3.6864963 776.75804
-3.6776536 398.61956
-3.6745553 528.39094
-3.6701759 750.21391
-3.6690226 267.77451
-3.6597172 464.30267
-3.6557207 534.76609
-3.6505125 504.64464
-3.6503198 496.64417
-3.6464536 672.46106
-3.6445563 612.95273
-3.6418498 702.48288
-3.6385751 324.24957
-3.6319472 700.71223
-3.6274416 791.00056
-3.6272921 806.62342
-3.6228464 827.79796
-3.6219769 989.07831
-3.6141235 729.94092
-3.609387 556.93797
-3.6002771 876.03283
-3.5999496 553.37664
-3.5955278 423.63919
-3.5944797 519.17203
-3.5889478 545.28321
-3.5836593 717.51581
-3.5816205 543.40206
-3.5673955 796.68978
-3.5659149 932.66694
-3.5633713 988.29194
-3.5625796 771.19258
-3.5579215 338.18497
-3.5567241 1015.5316
-3.5544367 787.80724
-3.5517361 714.3075
-3.5491249 711.63912
-3.5456751 692.53961
-3.5432346 654.69361
-3.5384595 1015.2084
-3.5383302 858.49882
-3.5342986 896.75579
-3.5342163 675.83582
-3.5323412 933.83925
-3.5280721 682.19931
-3.5226891 670.72999
-3.5173603 808.10515
-3.511087 701.11675
-3.5087584 616.80385
-3.4994466 681.56604
-3.4948535 762.00676
-3.4917971 807.57404
-3.4893444 982.70957
-3.4865305 992.75971
-3.4848183 760.25009
-3.4820118 801.56845
-3.479157 1266.5973
-3.4776878 957.16368
-3.4746981 1058.0394
-3.4722146 1027.5954
-3.4706814 870.89481
-3.4601454 904.17873
-3.4589699 775.47792
-3.458835 725.29218
-3.4534908 794.4594
-3.4523282 702.48433
-3.4505563 997.24512
-3.4472447 579.81693
-3.4445236 841.36804
-3.4395224 697.0694
-3.4390557 742.17032
-3.4310404 803.27233
-3.4308445 612.74948
-3.4272231 1019.1383
-3.4237453 837.23533
-3.4233339 888.35356
-3.4208114 866.96976
-3.415832 1225.6527
-3.4126634 547.51036
-3.4069582 1187.4613
-3.4040033 928.75877
-3.3990038 995.05812
-3.3964628 849.71264
-3.3962134 892.84436
-3.3924713 1100.0273
-3.391036 1036.4349
-3.3858449 1049.3667
-3.3838007 936.53973
-3.3825446 769.21284
-3.37657 933.51593
-3.3762502 882.12686
-3.374226 856.93039
-3.372224 874.79116
-3.3703841 772.56187
-3.3677895 1161.4228
-3.3659737 661.07107
-3.3646155 877.16343
-3.36259 978.06211
-3.3605376 1179.941
-3.3595293 895.22638
-3.3562006 1112.911
-3.3538801 399.36648
-3.3517137 970.56848
-3.3480814 1126.541
-3.3470786 1249.5398
-3.3425977 997.29179
-3.3418931 1022.9036
-3.3393975 890.03309
-3.3374626 1004.5749
-3.3361236 1036.7492
-3.3333204 1157.0272
-3.3303627 1162.4545
-3.3291087 1106.3383
-3.3266196 1168.9199
-3.3254176 1213.9094
-3.3238027 1082.8648
-3.3212736 971.84842
-3.3171587 1222.7932
-3.3160529 1039.4615
-3.3142384 960.12221
-3.3111385 1085.4474
-3.31034 803.32682
-3.309471 1306.6431
-3.3059327 1364.4058
-3.3056116 1336.5125
-3.3036755 1287.0824
-3.3022321 1053.5831
-3.2988611 1233.1987
-3.2981839 1204.6422
-3.2949293 943.98063
-3.2926812 1000.7908
-3.2904214 1228.2186
-3.2875158 1193.7647
-3.2839298 1278.0921
-3.2829182 1082.4258
-3.2814047 1064.2307
-3.2773158 1177.0767
-3.2759357 1130.2717
-3.2742686 921.94877
-3.2738965 934.22292
-3.2711124 1063.6297
-3.268775 1154.2992
-3.2684002 778.88933
-3.2642927 1118.4826
-3.2618627 1017.0377
-3.2600321 1044.9964
-3.259866 1059.8379
-3.2560254 1263.0151
-3.2559345 1222.6713
-3.2515871 1232.9283
-3.2467711 1170.5301
-3.2445289 1451.1281
-3.2435553 906.2616
-3.2433716 963.90319
-3.2407377 1145.1586
-3.2400466 1001.2393
-3.237635 1180.1261
-3.2366048 955.20061
-3.2337179 1227.0118
-3.2321325 1140.6532
-3.2316912 1234.0883
-3.2305072 1216.9655
-3.227895 963.40999
-3.227419 1348.2755
-3.2255167 1407.5437
-3.225247 943.47428
-3.2226573 972.45812
-3.2209044 1230.0475
-3.2178097 1090.6764
-3.2174772 1530.2142
-3.2120261 1295.4687
-3.2084197 1268.5431
-3.2049604 1025.1237
-3.2034239 1450.2885
-3.2008099 1207.156
-3.2006512 1100.7202
-3.1959016 1142.2812
-3.1946086 1253.9963
-3.1934331 1524.2796
-3.1915294 1317.9199
-3.1883463 1135.912
-3.1877971 1371.0036
-3.1874803 1163.1226
-3.1843619 982.45904
-3.1831052 1279.8641
-3.1799266 1207.4592
-3.1790654 943.90367
-3.177094 1140.3583
-3.1768498 1209.0815
-3.1756711 872.35284
-3.1729644 1286.5676
-3.1719456 1112.7887
-3.1675513 1251.5328
-3.1668705 1213.014
-3.166027 1296.3326
-3.1657526 1131.9175
-3.16312 1544.5171
-3.1619103 1608.3458
-3.1614255 1444.6485
-3.1594476 1014.9472
-3.1585505 1069.1726
-3.1551154 1438.4961
-3.1539657 1596.8795
-3.1523681 1392.4851
-3.1504121 1503.4723
-3.1476965 1121.2066
-3.1468137 1144.9454
-3.1454754 1338.0167
-3.1441307 1259.0126
-3.14385 1200.7776
-3.1423138 1149.8584
-3.1420237 1063.4447
-3.1396863 1176.0691
-3.1352771 1300.2297
-3.1350537 1665.0055
-3.1295571 864.08502
-3.1282979 1364.5136
-3.1238746 1559.3093
-3.1223061 1285.7448
-3.1217562 1125.6752
-3.1178551 1366.376
-3.1165 751.2514
-3.1146937 1195.0148
-3.1132551 1364.2323
-3.1113503 1438.623
-3.1102422 1346.0627
-3.1085421 1367.5834
-3.1068706 1477.7616
-3.1059754 1297.9656
-3.1039646 1341.8465
-3.1031971 1775.943
-3.0999725 1191.0649
-3.0990897 1298.7172
-3.0977506 1330.1701
-3.096597 1321.7317
-3.0961245 1395.3821
-3.0922766 1392.5059
-3.0914075 1166.4405
-3.0911816 1354.183
-3.0909671 1709.3963
-3.0905719 770.26012
-3.0889527 1344.3879
-3.0880165 1532.6976
-3.0851102 1469.5134
-3.0840584 1367.0423
-3.0811655 1654.3038
-3.0795293 1169.6563
-3.078781 1247.9349
-3.0774776 1577.9724
-3.0772423 1289.5917
-3.07493 1573.9498
-3.0743975 1097.2165
-3.0703277 1191.1383
-3.0699887 1381.8291
-3.0682209 985.76567
-3.0659595 1332.3447
-3.0644983 1279.7696
-3.0633812 1345.9188
-3.0617689 1579.7754
-3.0598768 1635.8153
-3.05873 909.11722
-3.0574586 1384.0239
-3.0552205 1196.9102
-3.054719 1573.5529
-3.0543176 1345.6304
-3.0534372 1378.994
-3.0512621 1724.0739
-3.0508243 1522.2086
-3.0485646 1647.7841
-3.0441019 1521.0882
-3.0431548 1022.3301
-3.0404436 1326.0703
-3.0388606 1284.9257
-3.037482 1503.0992
-3.0364117 1187.3
-3.0363292 1383.1613
-3.0339718 1708.1418
-3.0319272 1190.0987
-3.0306876 1221.0287
-3.0289405 1275.728
-3.0281777 1675.6218
-3.0258145 1387.5614
